participant_id,task,stimuli_number,trial_number,layout,orientation,correct,response,duration,time_when
670391e01385e6794f0eff25,compare_length,108,4,vertical,horizontal,0,1,1494.5,48:16.1
67e9708573d8edf10ceb34e0,compare_length,29,8,vertical,vertical,1,2,1997,48:15.1
67d10200d80c3405f93783de,compare_length,22,21,vertical,horizontal,1,2,2042.7,47:33.6
5b5a822e1ad8270001c4f28d,compare_index,71,10,horizontal,horizontal,1,1,899,48:17.1
67efaf86559b069f5e720317,compare_index,1,27,vertical,horizontal,1,1,1487,47:59.2
67f2fedba25aeb3a05799a40,compare_index,29,19,vertical,horizontal,1,2,1353,48:17.1
670391e01385e6794f0eff25,compare_length,-999,5,vertical,horizontal,1,1,1054.1,48:18.0
67e9708573d8edf10ceb34e0,compare_length,9,9,vertical,vertical,1,1,1010.2,48:17.0
5b5a822e1ad8270001c4f28d,compare_index,77,11,horizontal,horizontal,1,2,853.6,48:18.8
67d10200d80c3405f93783de,compare_length,11,22,vertical,horizontal,1,1,1497,47:36.0
67f2fedba25aeb3a05799a40,compare_index,5,20,vertical,horizontal,1,1,983.7,48:18.9
67efaf86559b069f5e720317,compare_index,17,28,vertical,horizontal,1,1,1200.5,48:01.3
67e9708573d8edf10ceb34e0,compare_length,30,10,vertical,vertical,1,2,1393.6,48:19.3
670391e01385e6794f0eff25,compare_length,120,6,vertical,horizontal,1,1,2218.2,48:21.1
5b5a822e1ad8270001c4f28d,compare_index,72,12,horizontal,horizontal,1,2,1440.2,48:21.0
67d10200d80c3405f93783de,compare_length,-999,23,vertical,horizontal,1,2,1375.7,47:38.2
67f2fedba25aeb3a05799a40,compare_index,28,21,vertical,horizontal,1,2,1726.2,48:21.5
667871d17d7fdf0358f82a28,compare_index,-999,23,vertical,horizontal,1,2,2565.3,44:14.2
670391e01385e6794f0eff25,compare_length,37,13,vertical,vertical,1,2,1060.1,44:13.4
6562421abbbe0dc4b89ad4ff,compare_height,-999,23,vertical,horizontal,1,2,1639,44:13.5
67eec1cf02e625e0d469f1ed,compare_index,29,15,vertical,vertical,1,2,1390,44:12.2
5e84bd7c34d5d9072128fac1,compare_index,89,26,vertical,horizontal,1,2,2043,44:13.4
670391e01385e6794f0eff25,compare_length,-999,14,vertical,vertical,1,1,1094.2,44:15.4
6562421abbbe0dc4b89ad4ff,compare_height,64,24,vertical,horizontal,1,1,1325,44:15.7
67eec1cf02e625e0d469f1ed,compare_index,5,16,vertical,vertical,1,1,1391.7,44:14.5
